QPS:8000 time:1715686533737  tps:3756.574005  tpsNoError:3756.574005 latency:905.625200
QPS:8000 time:1715686535146  tps:3756.574005  tpsNoError:3756.574005 latency:740.538800
QPS:8000 time:1715686537216  tps:2596.053998  tpsNoError:2596.053998 latency:1333.751000
QPS:8000 time:1715686538782  tps:3255.208333  tpsNoError:3255.208333 latency:1179.876000
QPS:8000 time:1715686540288  tps:3387.533875  tpsNoError:3387.533875 latency:906.454400
QPS:8000 time:1715686541943  tps:3080.714726  tpsNoError:3080.714726 latency:1010.667200
QPS:8000 time:1715686543578  tps:3115.264798  tpsNoError:3115.264798 latency:1043.506600
QPS:8000 time:1715686545301  tps:2951.593861  tpsNoError:2951.593861 latency:1328.228000
QPS:8000 time:1715686547152  tps:2751.788663  tpsNoError:2751.788663 latency:1327.429000
QPS:9000 time:1715686548916  tps:2883.506344  tpsNoError:2883.506344 latency:1370.897000
QPS:9000 time:1715686550323  tps:3631.082062  tpsNoError:3631.082062 latency:964.019400
QPS:9000 time:1715686551916  tps:3203.074952  tpsNoError:3203.074952 latency:984.256200
QPS:9000 time:1715686553476  tps:3261.578604  tpsNoError:3261.578604 latency:1179.120000
QPS:9000 time:1715686554793  tps:3881.987578  tpsNoError:3881.987578 latency:736.001000
QPS:9000 time:1715686556039  tps:4122.011542  tpsNoError:4122.011542 latency:881.954000
QPS:9000 time:1715686557573  tps:3328.894807  tpsNoError:3328.894807 latency:897.544200
QPS:9000 time:1715686558904  tps:3852.080123  tpsNoError:3852.080123 latency:954.014000
QPS:9000 time:1715686560220  tps:3894.080997  tpsNoError:3894.080997 latency:762.008600
QPS:9000 time:1715686561762  tps:3313.452618  tpsNoError:3313.452618 latency:1071.541000
QPS:10000 time:1715686563367  tps:3172.588832  tpsNoError:3172.588832 latency:1129.134800
QPS:10000 time:1715686564773  tps:3633.720930  tpsNoError:3633.720930 latency:1031.166800
QPS:10000 time:1715686566153  tps:3742.514970  tpsNoError:3742.514970 latency:835.011000
QPS:10000 time:1715686567612  tps:3511.235955  tpsNoError:3511.235955 latency:1129.308200
QPS:10000 time:1715686569024  tps:3668.378577  tpsNoError:3668.378577 latency:897.658200
QPS:10000 time:1715686570356  tps:3852.080123  tpsNoError:3852.080123 latency:1001.469400
QPS:10000 time:1715686571933  tps:3236.245955  tpsNoError:3236.245955 latency:1025.502600
QPS:10000 time:1715686573293  tps:3759.398496  tpsNoError:3759.398496 latency:1003.868000
QPS:10000 time:1715686574618  tps:3918.495298  tpsNoError:3918.495298 latency:729.797000
QPS:10000 time:1715686575893  tps:4012.841091  tpsNoError:4012.841091 latency:831.073800
QPS:11000 time:1715686577290  tps:3668.378577  tpsNoError:3668.378577 latency:1048.175400
QPS:11000 time:1715686578670  tps:3709.198813  tpsNoError:3709.198813 latency:1068.115600
QPS:11000 time:1715686580014  tps:3810.975610  tpsNoError:3810.975610 latency:797.468200
QPS:11000 time:1715686581276  tps:4074.979625  tpsNoError:4074.979625 latency:920.230600
QPS:11000 time:1715686582530  tps:4091.653028  tpsNoError:4091.653028 latency:947.463400
QPS:11000 time:1715686584048  tps:3389.830508  tpsNoError:3389.830508 latency:821.494600
QPS:11000 time:1715686585384  tps:3825.554705  tpsNoError:3825.554705 latency:1036.848200
QPS:11000 time:1715686586604  tps:4219.409283  tpsNoError:4219.409283 latency:712.667600
QPS:11000 time:1715686587872  tps:4071.661238  tpsNoError:4071.661238 latency:870.709400
QPS:11000 time:1715686589102  tps:4170.141785  tpsNoError:4170.141785 latency:903.224800
QPS:12000 time:1715686590355  tps:4078.303426  tpsNoError:4078.303426 latency:989.175400
QPS:12000 time:1715686591588  tps:4159.733777  tpsNoError:4159.733777 latency:959.609800
QPS:12000 time:1715686592842  tps:4095.004095  tpsNoError:4095.004095 latency:986.990800
QPS:12000 time:1715686594275  tps:3561.253561  tpsNoError:3561.253561 latency:1093.300400
QPS:12000 time:1715686595615  tps:3813.882532  tpsNoError:3813.882532 latency:799.738200
QPS:12000 time:1715686596849  tps:4145.936982  tpsNoError:4145.936982 latency:956.690600
QPS:12000 time:1715686598306  tps:3498.950315  tpsNoError:3498.950315 latency:1171.192600
QPS:12000 time:1715686599564  tps:4074.979625  tpsNoError:4074.979625 latency:988.117000
QPS:12000 time:1715686600893  tps:3924.646782  tpsNoError:3924.646782 latency:1028.341800
QPS:12000 time:1715686602169  tps:4038.772213  tpsNoError:4038.772213 latency:927.324200
QPS:13000 time:1715686603274  tps:4651.162791  tpsNoError:4651.162791 latency:711.670000
QPS:13000 time:1715686604635  tps:3773.584906  tpsNoError:3773.584906 latency:796.679600
QPS:13000 time:1715686605965  tps:3875.968992  tpsNoError:3875.968992 latency:1063.551800
QPS:13000 time:1715686607207  tps:4166.666667  tpsNoError:4166.666667 latency:959.820200
QPS:13000 time:1715686608466  tps:4084.967320  tpsNoError:4084.967320 latency:999.922800
QPS:13000 time:1715686609713  tps:4122.011542  tpsNoError:4122.011542 latency:986.632000
QPS:13000 time:1715686610958  tps:4111.842105  tpsNoError:4111.842105 latency:993.324200
QPS:13000 time:1715686612452  tps:3436.426117  tpsNoError:3436.426117 latency:1191.594600
QPS:13000 time:1715686613668  tps:4212.299916  tpsNoError:4212.299916 latency:930.382600
QPS:13000 time:1715686614877  tps:4244.482173  tpsNoError:4244.482173 latency:961.048000
QPS:14000 time:1715686616268  tps:3684.598379  tpsNoError:3684.598379 latency:1123.474400
QPS:14000 time:1715686617644  tps:3725.782414  tpsNoError:3725.782414 latency:1114.588800
QPS:14000 time:1715686618911  tps:4035.512510  tpsNoError:4035.512510 latency:1016.176400
QPS:14000 time:1715686620135  tps:4205.214466  tpsNoError:4205.214466 latency:953.150600
QPS:14000 time:1715686621386  tps:4095.004095  tpsNoError:4095.004095 latency:1010.609400
QPS:14000 time:1715686622716  tps:3840.245776  tpsNoError:3840.245776 latency:1051.759000
QPS:14000 time:1715686623944  tps:4170.141785  tpsNoError:4170.141785 latency:977.073000
QPS:14000 time:1715686625167  tps:4191.114837  tpsNoError:4191.114837 latency:969.698400
QPS:14000 time:1715686626552  tps:3709.198813  tpsNoError:3709.198813 latency:1112.732200
QPS:14000 time:1715686627763  tps:4244.482173  tpsNoError:4244.482173 latency:975.898200
QPS:15000 time:1715686628995  tps:4149.377593  tpsNoError:4149.377593 latency:981.526800
QPS:15000 time:1715686630314  tps:3977.724741  tpsNoError:3977.724741 latency:1060.770800
QPS:15000 time:1715686631514  tps:4288.164666  tpsNoError:4288.164666 latency:971.104400
QPS:15000 time:1715686632874  tps:3762.227239  tpsNoError:3762.227239 latency:1096.388400
QPS:15000 time:1715686634104  tps:4170.141785  tpsNoError:4170.141785 latency:991.514600
QPS:15000 time:1715686635312  tps:4237.288136  tpsNoError:4237.288136 latency:986.605800
QPS:15000 time:1715686636527  tps:4215.851602  tpsNoError:4215.851602 latency:972.634000
QPS:15000 time:1715686637926  tps:3639.010189  tpsNoError:3639.010189 latency:1167.510600
QPS:15000 time:1715686639185  tps:4078.303426  tpsNoError:4078.303426 latency:1007.976800
QPS:15000 time:1715686640437  tps:4198.152813  tpsNoError:4198.152813 latency:999.787200
QPS:16000 time:1715686641683  tps:4111.842105  tpsNoError:4111.842105 latency:1018.475800
QPS:16000 time:1715686642902  tps:4222.972973  tpsNoError:4222.972973 latency:1002.729200
QPS:16000 time:1715686644169  tps:4095.004095  tpsNoError:4095.004095 latency:1018.613000
QPS:16000 time:1715686645501  tps:3837.298542  tpsNoError:3837.298542 latency:1102.765200
QPS:16000 time:1715686646760  tps:4065.040650  tpsNoError:4065.040650 latency:1050.433400
QPS:16000 time:1715686648111  tps:3793.626707  tpsNoError:3793.626707 latency:1106.882600
QPS:16000 time:1715686649464  tps:3810.975610  tpsNoError:3810.975610 latency:1096.523800
QPS:16000 time:1715686650862  tps:3663.003663  tpsNoError:3663.003663 latency:1173.534800
QPS:16000 time:1715686652214  tps:3785.011355  tpsNoError:3785.011355 latency:1109.238400
QPS:16000 time:1715686653631  tps:3594.536305  tpsNoError:3594.536305 latency:1101.817200
QPS:17000 time:1715686654957  tps:3846.153846  tpsNoError:3846.153846 latency:1098.050200
QPS:17000 time:1715686656211  tps:4088.307441  tpsNoError:4088.307441 latency:1006.935800
QPS:17000 time:1715686657466  tps:4084.967320  tpsNoError:4084.967320 latency:1045.694800
QPS:17000 time:1715686658779  tps:3897.116134  tpsNoError:3897.116134 latency:1092.388000
QPS:17000 time:1715686660045  tps:4065.040650  tpsNoError:4065.040650 latency:1032.624200
QPS:17000 time:1715686661442  tps:3671.071953  tpsNoError:3671.071953 latency:970.539400
QPS:17000 time:1715686662911  tps:3610.108303  tpsNoError:3610.108303 latency:1191.025200
QPS:17000 time:1715686664091  tps:4347.826087  tpsNoError:4347.826087 latency:975.425800
QPS:17000 time:1715686665305  tps:4233.700254  tpsNoError:4233.700254 latency:999.538400
QPS:17000 time:1715686666560  tps:4198.152813  tpsNoError:4198.152813 latency:976.336200
QPS:18000 time:1715686667882  tps:3866.976025  tpsNoError:3866.976025 latency:1113.585600
QPS:18000 time:1715686669086  tps:4262.574595  tpsNoError:4262.574595 latency:986.762600
QPS:18000 time:1715686670358  tps:4016.064257  tpsNoError:4016.064257 latency:1060.844000
QPS:18000 time:1715686671665  tps:3906.250000  tpsNoError:3906.250000 latency:1081.349200
QPS:18000 time:1715686672944  tps:3996.802558  tpsNoError:3996.802558 latency:1070.251000
QPS:18000 time:1715686674295  tps:3831.417625  tpsNoError:3831.417625 latency:1095.459000
QPS:18000 time:1715686675599  tps:4045.307443  tpsNoError:4045.307443 latency:1045.061200
QPS:18000 time:1715686676994  tps:3671.071953  tpsNoError:3671.071953 latency:1149.445200
QPS:18000 time:1715686678266  tps:4042.037187  tpsNoError:4042.037187 latency:1066.756600
QPS:18000 time:1715686679471  tps:4266.211604  tpsNoError:4266.211604 latency:980.695600
QPS:19000 time:1715686680778  tps:3915.426782  tpsNoError:3915.426782 latency:1086.696800
QPS:19000 time:1715686682067  tps:3980.891720  tpsNoError:3980.891720 latency:1068.632200
QPS:19000 time:1715686683327  tps:4071.661238  tpsNoError:4071.661238 latency:1047.820600
QPS:19000 time:1715686684545  tps:4219.409283  tpsNoError:4219.409283 latency:1003.763800
QPS:19000 time:1715686685766  tps:4184.100418  tpsNoError:4184.100418 latency:1031.161600
QPS:19000 time:1715686686942  tps:4397.537379  tpsNoError:4397.537379 latency:942.234200
QPS:19000 time:1715686688223  tps:4101.722724  tpsNoError:4101.722724 latency:1059.360400
QPS:19000 time:1715686689453  tps:4170.141785  tpsNoError:4170.141785 latency:1040.339200
QPS:19000 time:1715686690739  tps:4003.202562  tpsNoError:4003.202562 latency:1082.158600
QPS:19000 time:1715686691960  tps:4222.972973  tpsNoError:4222.972973 latency:1030.067600
